nohup: ignoring input
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4126 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4123 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4128 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4120 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4125 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4119 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4130 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4142 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4137 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4134 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4131 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4123 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4104 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4147 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4144 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4139 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4124 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4120 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4117 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4124 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4118 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4136 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4135 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4135 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4125 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4118 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4137 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4117 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4101 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4144 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4115 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4121 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4110 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4124 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4150 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4118 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4108 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4116 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4103 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4154 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8286 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8270 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8278 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8306 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8298 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8287 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8302 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8310 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8276 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8298 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8297 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8241 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8279 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8313 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8321 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8278 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8284 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8265 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8304 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8292 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8288 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8297 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8283 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8294 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8308 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8302 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8270 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8270 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8292 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8296 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8307 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8315 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8290 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8272 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8305 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8291 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8308 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8315 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8277 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8291 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4126 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4123 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4128 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4120 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4125 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4119 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4130 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4142 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4137 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4134 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4131 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4123 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4104 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4147 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4144 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4139 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4124 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4120 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4117 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4124 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4118 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4136 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4135 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4135 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4125 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4118 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4137 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4117 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4101 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4144 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4115 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4121 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4110 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4124 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4150 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4118 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4108 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4116 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4103 constraints
original problem has 1000 variables (1000 bin, 0 int, 0 impl, 0 cont) and 4154 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8286 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8270 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8278 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8306 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8298 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8287 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8302 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8310 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8276 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8298 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8297 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8241 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8279 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8313 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8321 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8278 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8284 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8265 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8304 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8292 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8288 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8297 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8283 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8294 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8308 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8302 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8270 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8270 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8292 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8296 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8307 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8315 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8290 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8272 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8305 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8291 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8308 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8315 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8277 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 8291 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3414 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3476 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3431 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 3399 constraints
