nohup: ignoring input
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 2000 variables (2000 bin, 0 int, 0 impl, 0 cont) and 5000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
original problem has 4000 variables (4000 bin, 0 int, 0 impl, 0 cont) and 10000 constraints
./result/saved_models/regression/trained_params_mean_setcover-independentset-combinatorialauction_asymmetric_firstsol_k_prime_epoch163.pth
./result/saved_models/rl/reinforce/setcovering/checkpoint_trained_reward3_simplepolicy_rl4lb_reinforce_trainset_setcovering-small_lr0.01_epochs7.pth
setcovering-small
firstsol
seed: 0
cpu
instance:  0
create a new SCIP model
The initial incumbent of setcovering-160_transformed is successfully added to MIP model
setcovering-160_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 99504.0
Instance: setcovering-160_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3451.0
Solving time:  600.012141


[array([99504.,  7884.,  5061.,  5007.,  4916.,  4890.,  4857.,  4826.,
        4665.,  4588.,  4319.,  4091.,  4017.,  3953.,  3923.,  3833.,
        3764.,  3559.,  3544.,  3542.,  3490.,  3451.]), array([0.00000000e+00, 1.36021000e-01, 1.39989000e-01, 1.85839020e+01,
       1.86618560e+01, 1.86689200e+01, 1.86826070e+01, 1.87123610e+01,
       1.87875970e+01, 1.87942130e+01, 1.88208040e+01, 1.92500440e+01,
       1.92662170e+01, 1.92725820e+01, 1.92922110e+01, 1.93006590e+01,
       1.93067420e+01, 7.25155680e+01, 2.52889183e+02, 2.70000238e+02,
       3.15901014e+02, 3.64351063e+02])]
instance:  1
create a new SCIP model
The initial incumbent of setcovering-161_transformed is successfully added to MIP model
setcovering-161_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 99131.0
Instance: setcovering-161_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3252.0
Solving time:  600.000613


[array([99131., 10198., 10197., 10196.,  6466.,  6427.,  6407.,  6347.,
        6265.,  6237.,  6192.,  6190.,  6125.,  6108.,  6013.,  5984.,
        5959.,  5850.,  5801.,  5781.,  5738.,  5697.,  5688.,  5676.,
        5604.,  5592.,  5529.,  5484.,  5425.,  5207.,  5121.,  5024.,
        5015.,  4985.,  4973.,  4902.,  4861.,  4709.,  4559.,  4550.,
        4500.,  4454.,  4196.,  4160.,  3790.,  3768.,  3749.,  3729.,
        3703.,  3617.,  3477.,  3314.,  3302.,  3290.,  3277.,  3272.,
        3252.]), array([0.00000000e+00, 1.21924000e-01, 4.42792400e+00, 4.44248800e+00,
       5.37393100e+00, 1.36147780e+01, 1.36885570e+01, 1.36959990e+01,
       1.37536900e+01, 1.37951490e+01, 1.38054560e+01, 1.38654990e+01,
       1.38839930e+01, 1.39406270e+01, 1.39599510e+01, 1.41489310e+01,
       1.41585310e+01, 1.43273340e+01, 1.43742070e+01, 1.44057270e+01,
       1.44168810e+01, 1.44257120e+01, 1.44440080e+01, 1.45771770e+01,
       1.45846520e+01, 1.46328690e+01, 1.46701640e+01, 1.46749560e+01,
       1.48218290e+01, 1.49047940e+01, 1.51026770e+01, 1.51076950e+01,
       1.51418170e+01, 1.52074550e+01, 1.53794320e+01, 1.54706250e+01,
       1.56401850e+01, 1.57208590e+01, 1.57528290e+01, 1.58268760e+01,
       1.60586810e+01, 1.60632640e+01, 1.60744300e+01, 1.60944860e+01,
       1.61601580e+01, 1.61668590e+01, 1.63146430e+01, 1.63283020e+01,
       1.63513190e+01, 1.63641520e+01, 1.63693770e+01, 1.32452521e+02,
       2.74892673e+02, 3.44649253e+02, 3.88929252e+02, 4.57259699e+02,
       5.22506896e+02])]
instance:  2
create a new SCIP model
The initial incumbent of setcovering-162_transformed is successfully added to MIP model
setcovering-162_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 100639.0
Instance: setcovering-162_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3580.0
Solving time:  600.000359


[array([100639.,  11143.,   7180.,   3617.,   3584.,   3580.]), array([0.00000000e+00, 1.25967000e-01, 5.57286400e+00, 1.78877702e+02,
       3.02883740e+02, 3.02897047e+02])]
instance:  3
create a new SCIP model
The initial incumbent of setcovering-163_transformed is successfully added to MIP model
setcovering-163_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 96418.0
Instance: setcovering-163_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3094.0
Solving time:  600.001339


[array([96418.        , 10372.        ,  6629.        ,  6591.        ,
        6509.99999428,  6483.        ,  6390.        ,  6372.        ,
        6327.        ,  6270.        ,  6243.        ,  6236.        ,
        6148.        ,  6072.        ,  6059.        ,  5989.        ,
        5947.        ,  5934.        ,  5872.        ,  5795.        ,
        5788.        ,  5725.        ,  5701.        ,  5641.        ,
        5583.        ,  5513.        ,  5511.        ,  5473.        ,
        5360.        ,  5333.        ,  5287.        ,  5246.        ,
        5214.        ,  5207.        ,  5200.        ,  5186.        ,
        5113.        ,  5100.        ,  5041.        ,  5012.        ,
        5002.        ,  4912.        ,  4867.        ,  4850.        ,
        4840.        ,  4824.        ,  4614.        ,  4612.        ,
        4493.        ,  4489.        ,  4464.        ,  4341.        ,
        4317.        ,  4294.        ,  4242.        ,  4179.        ,
        4046.        ,  3848.        ,  3757.        ,  3675.        ,
        3313.        ,  3169.        ,  3131.        ,  3105.        ,
        3103.        ,  3094.        ]), array([0.00000000e+00, 1.15391000e-01, 5.10897400e+00, 1.48158940e+01,
       1.49411730e+01, 1.49827540e+01, 1.52592120e+01, 1.52748100e+01,
       1.52841000e+01, 1.57207360e+01, 1.58118180e+01, 1.58177330e+01,
       1.59299610e+01, 1.59424870e+01, 1.61920610e+01, 1.61982730e+01,
       1.62943300e+01, 1.63196340e+01, 1.63285450e+01, 1.63605700e+01,
       1.64356150e+01, 1.64438780e+01, 1.64494860e+01, 1.66574860e+01,
       1.67077000e+01, 1.68322680e+01, 1.68621990e+01, 1.73110290e+01,
       1.73881260e+01, 1.73934760e+01, 1.76409900e+01, 1.76708570e+01,
       1.76811850e+01, 1.77048500e+01, 1.77828640e+01, 1.78612030e+01,
       1.79380550e+01, 1.79634920e+01, 1.80082280e+01, 1.80238240e+01,
       1.80872920e+01, 1.81085420e+01, 1.81764430e+01, 1.81854500e+01,
       1.82755590e+01, 1.83288010e+01, 1.83899910e+01, 1.84133870e+01,
       1.84293070e+01, 1.85464010e+01, 1.85528020e+01, 1.85610750e+01,
       1.86316640e+01, 1.87234970e+01, 1.87443550e+01, 1.87731850e+01,
       1.87848390e+01, 1.88228060e+01, 1.88349060e+01, 1.88691510e+01,
       1.88745810e+01, 1.19507657e+02, 2.97578425e+02, 3.18731129e+02,
       3.18875849e+02, 3.82665974e+02])]
instance:  4
create a new SCIP model
The initial incumbent of setcovering-164_transformed is successfully added to MIP model
setcovering-164_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 100959.0
Instance: setcovering-164_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3325.0
Solving time:  600.001078


[array([100959.,  11530.,  11507.,  11504.,  11477.,   3604.,   3348.,
         3325.]), array([0.00000000e+00, 1.15956000e-01, 4.40485800e+00, 4.44492400e+00,
       4.45919300e+00, 4.46223500e+00, 8.68167360e+01, 2.89817532e+02])]
instance:  5
create a new SCIP model
The initial incumbent of setcovering-165_transformed is successfully added to MIP model
setcovering-165_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 96602.0
Instance: setcovering-165_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  2993.0
Solving time:  600.000535


[array([96602.,  9922.,  9904.,  9901.,  9899.,  3203.,  3191.,  3069.,
        3048.,  3034.,  3022.,  3007.,  2993.]), array([0.00000000e+00, 1.16900000e-01, 3.46572200e+00, 3.50192600e+00,
       3.51514700e+00, 3.51824500e+00, 1.32299170e+01, 6.88918210e+01,
       1.27059089e+02, 2.32055314e+02, 2.77008030e+02, 3.14829688e+02,
       3.50540181e+02])]
instance:  6
create a new SCIP model
The initial incumbent of setcovering-166_transformed is successfully added to MIP model
setcovering-166_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 97066.0
Instance: setcovering-166_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3407.0
Solving time:  600.001104


[array([97066., 10683.,  7233.,  7201.,  7176.,  7132.,  7107.,  7105.,
        7083.,  7023.,  6987.,  6867.,  6808.,  6795.,  6752.,  6707.,
        6616.,  6584.,  6583.,  6506.,  6490.,  6458.,  6346.,  6332.,
        6265.,  6239.,  6237.,  6115.,  6047.,  6041.,  6018.,  5957.,
        5946.,  5881.,  5863.,  5792.,  5733.,  5691.,  5659.,  5656.,
        5555.,  5543.,  5516.,  5492.,  5424.,  5389.,  5368.,  5338.,
        5337.,  5285.,  5257.,  5218.,  5079.,  5051.,  5049.,  5033.,
        4997.,  4947.,  4927.,  4919.,  4907.,  4904.,  4844.,  4812.,
        4793.,  4706.,  4587.,  4549.,  4297.,  4184.,  3944.,  3793.,
        3649.,  3590.,  3574.,  3525.,  3488.,  3487.,  3480.,  3472.,
        3469.,  3468.,  3463.,  3458.,  3440.,  3439.,  3437.,  3434.,
        3432.,  3414.,  3407.]), array([0.00000000e+00, 1.29342000e-01, 6.58466900e+00, 1.42123400e+01,
       1.42212100e+01, 1.42278450e+01, 1.42436110e+01, 1.42785140e+01,
       1.43149820e+01, 1.43215860e+01, 1.43645140e+01, 1.43712180e+01,
       1.44924790e+01, 1.45510370e+01, 1.46177670e+01, 1.54515750e+01,
       1.54665900e+01, 1.56631680e+01, 1.56691480e+01, 1.59707080e+01,
       1.61983020e+01, 1.62039830e+01, 1.62715390e+01, 1.64609500e+01,
       1.64812590e+01, 1.66496240e+01, 1.67596850e+01, 1.69275640e+01,
       1.69352480e+01, 1.70016460e+01, 1.70202440e+01, 1.72061770e+01,
       1.72595840e+01, 1.72879710e+01, 1.72936760e+01, 1.73804220e+01,
       1.75772100e+01, 1.76028850e+01, 1.76222950e+01, 1.77441460e+01,
       1.78135670e+01, 1.78405780e+01, 1.78644140e+01, 1.79005470e+01,
       1.79247080e+01, 1.79325280e+01, 1.79577120e+01, 1.79628510e+01,
       1.80249650e+01, 1.80428220e+01, 1.80531420e+01, 1.80627810e+01,
       1.80764380e+01, 1.80862930e+01, 1.82244720e+01, 1.82311170e+01,
       1.82486530e+01, 1.82585870e+01, 1.82816530e+01, 1.83263970e+01,
       1.83411710e+01, 1.83493090e+01, 1.83536480e+01, 1.83594030e+01,
       1.84110980e+01, 1.84311240e+01, 1.84527670e+01, 1.84693030e+01,
       1.84911700e+01, 1.85484740e+01, 1.85925580e+01, 1.86141570e+01,
       1.86835400e+01, 1.86875540e+01, 1.86920570e+01, 9.34721710e+01,
       2.37434899e+02, 2.73813098e+02, 2.82502667e+02, 2.82562315e+02,
       2.83387115e+02, 2.84251083e+02, 2.84253904e+02, 2.84581919e+02,
       2.84584893e+02, 3.15210845e+02, 3.15339841e+02, 3.55564662e+02,
       3.74462730e+02, 3.74492491e+02, 4.20082398e+02])]
instance:  7
create a new SCIP model
The initial incumbent of setcovering-167_transformed is successfully added to MIP model
setcovering-167_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 100005.0
Instance: setcovering-167_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3770.0
Solving time:  600.000375


[array([100005.,   8152.,   4810.,   4337.,   4185.,   4105.,   4087.,
         3921.,   3827.,   3770.]), array([0.00000000e+00, 1.30167000e-01, 1.34641000e-01, 2.41937820e+01,
       2.42639980e+01, 2.43817530e+01, 2.43893100e+01, 2.43985560e+01,
       2.07409675e+02, 5.21426653e+02])]
instance:  8
create a new SCIP model
The initial incumbent of setcovering-168_transformed is successfully added to MIP model
setcovering-168_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 96902.0
Instance: setcovering-168_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3145.0
Solving time:  600.000748


[array([96902.,  8270.,  5032.,  5002.,  4962.,  4918.,  4879.,  4747.,
        4745.,  4690.,  4678.,  4598.,  4510.,  4434.,  4429.,  4402.,
        4382.,  4380.,  4186.,  4152.,  3861.,  3834.,  3821.,  3687.,
        3391.,  3246.,  3236.,  3235.,  3232.,  3229.,  3207.,  3170.,
        3159.,  3155.,  3150.,  3145.]), array([0.00000000e+00, 1.21402000e-01, 1.25234000e-01, 1.59412600e+01,
       1.59472440e+01, 1.59618780e+01, 1.59673820e+01, 1.61196660e+01,
       1.62889150e+01, 1.63572320e+01, 1.63881630e+01, 1.63995110e+01,
       1.64818190e+01, 1.66101760e+01, 1.66660130e+01, 1.66876150e+01,
       1.67084370e+01, 1.67289770e+01, 1.68692070e+01, 1.69052980e+01,
       1.69422970e+01, 1.69479530e+01, 1.70875110e+01, 1.70922130e+01,
       1.71006710e+01, 7.08336980e+01, 1.66707637e+02, 1.66729939e+02,
       1.66981977e+02, 1.66984712e+02, 2.67407018e+02, 3.16673308e+02,
       3.16769425e+02, 3.44265045e+02, 3.93311760e+02, 4.45097523e+02])]
instance:  9
create a new SCIP model
The initial incumbent of setcovering-169_transformed is successfully added to MIP model
setcovering-169_transformed
N of variables: 2000
N of binary vars: 2000
N of constraints: 5000
Initial obj of MIP: 100175.0
Instance: setcovering-169_transformed
Status of SCIP_baseline:  timelimit
Best obj of SCIP_baseline:  3503.0
Solving time:  600.000684


[array([100175.,  10479.,   7759.,   7752.,   7667.,   7615.,   7542.,
         7520.,   7471.,   7449.,   7358.,   7351.,   7301.,   7278.,
         7248.,   7224.,   7179.,   7089.,   7088.,   7074.,   7021.,
         7012.,   6972.,   6965.,   6964.,   6933.,   6928.,   6906.,
         6786.,   6770.,   6732.,   6712.,   6650.,   6646.,   6602.,
         6525.,   6480.,   6478.,   6440.,   6360.,   6353.,   6196.,
         6129.,   6107.,   6065.,   5952.,   5925.,   5876.,   5859.,
         5843.,   5828.,   5822.,   5542.,   5518.,   5471.,   5445.,
         5409.,   5404.,   5142.,   5064.,   5039.,   5023.,   5015.,
         4990.,   4855.,   4806.,   4786.,   4701.,   4623.,   4483.,
         4479.,   4466.,   4335.,   4247.,   4202.,   3969.,   3789.,
